"","parm_cd","description","characteristicname","measureunitcode","resultsamplefraction","resulttemperaturebasis","resultstatisticalbasis","resulttimebasis","resultweightbasis","resultparticlesizebasis","last_rev_dt"
"136","00605","Organic nitrogen, water, unfiltered, milligrams per liter","Organic nitrogen","mg/l","Total","","","","","","2009-06-23"
"137","00606","Organic nitrogen, suspended sediment, total, milligrams per liter","Organic nitrogen","mg/l","Suspended","","","","","","2008-02-21"
"138","00607","Organic nitrogen, water, filtered, milligrams per liter","Organic nitrogen","mg/l","Dissolved","","","","","","2009-06-23"
"139","00608","Ammonia, water, filtered, milligrams per liter as nitrogen","Ammonia and ammonium","mg/l as N","Dissolved","","","","","","2008-02-21"
"140","00610","Ammonia, water, unfiltered, milligrams per liter as nitrogen","Ammonia and ammonium","mg/l as N","Total","","","","","","2008-02-21"
"141","00611","Ammonia, bed sediment, total, dry weight, milligrams per kilogram as nitrogen","Ammonia and ammonium","mg/kg as N","Bed Sediment","","","","Dry","","2008-03-25"
"142","00613","Nitrite, water, filtered, milligrams per liter as nitrogen","Nitrite","mg/l as N","Dissolved","","","","","","2008-02-21"
"143","00615","Nitrite, water, unfiltered, milligrams per liter as nitrogen","Nitrite","mg/l as N","Total","","","","","","2008-02-21"
"144","00616","Nitrite, bed sediment, total, dry weight, milligrams per kilogram as nitrogen","Nitrite","mg/kg as N","Bed Sediment","","","","Dry","","2008-03-25"
"145","00618","Nitrate, water, filtered, milligrams per liter as nitrogen","Nitrate","mg/l as N","Dissolved","","","","","","2008-02-21"
"146","00619","Ammonia (un-ionized), water, unfiltered, calculated, milligrams per liter as nitrogen","Ammonia","mg/l as N","Total","","","","","","2008-02-21"
"147","00620","Nitrate, water, unfiltered, milligrams per liter as nitrogen","Nitrate","mg/l as N","Total","","","","","","2008-02-21"
"148","00621","Nitrate, bed sediment, total, dry weight, milligrams per kilogram as nitrogen","Nitrate","mg/kg as N","Bed Sediment","","","","Dry","","2008-03-25"
"149","00623","Ammonia plus organic nitrogen, water, filtered, milligrams per liter as nitrogen","Kjeldahl nitrogen","mg/l as N","Dissolved","","","","","","2009-06-23"
"150","00624","Ammonia plus organic nitrogen, suspended sediment, total, milligrams per liter as nitrogen","Kjeldahl nitrogen","mg/l as N","Suspended","","","","","","2009-06-23"
"151","00625","Ammonia plus organic nitrogen, water, unfiltered, milligrams per liter as nitrogen","Kjeldahl nitrogen","mg/l as N","Total","","","","","","2009-06-23"
"152","00626","Ammonia plus organic nitrogen, bed sediment, total, dry weight, milligrams per kilogram as nitrogen","Kjeldahl nitrogen","mg/kg as N","Bed Sediment","","","","Dry","","2008-03-25"
"153","00628","Nitrate plus nitrite, suspended sediment, total, milligrams per liter as nitrogen","Inorganic nitrogen (nitrate and nitrite)","mg/l as N","Suspended","","","","","","2008-02-21"
"154","00630","Nitrate plus nitrite, water, unfiltered, milligrams per liter as nitrogen","Inorganic nitrogen (nitrate and nitrite)","mg/l as N","Total","","","","","","2012-04-02"
"155","00631","Nitrate plus nitrite, water, filtered, milligrams per liter as nitrogen","Inorganic nitrogen (nitrate and nitrite)","mg/l as N","Dissolved","","","","","","2012-04-02"
"156","00633","Nitrate plus nitrite, bed sediment, total, dry weight, milligrams per kilogram as nitrogen","Inorganic nitrogen (nitrate and nitrite)","mg/kg as N","Bed Sediment","","","","Dry","","2008-03-25"
"157","00635","Ammonia plus organic nitrogen, water, unfiltered, milligrams per liter as nitrogen","Kjeldahl nitrogen","mg/l as N","Total","","","","","","2008-02-21"
"158","00636","Ammonia plus organic nitrogen, water, filtered, milligrams per liter as nitrogen","Kjeldahl nitrogen","mg/l as N","Dissolved","","","","","","2008-02-21"
"159","00650","Phosphate, water, unfiltered, milligrams per liter","Phosphate-phosphorus","mg/l","Total","","","","","","2008-02-21"
"160","00653","Phosphate, water, filtered, milligrams per liter","Phosphate-phosphorus","mg/l","Dissolved","","","","","","2008-02-21"
"161","00660","Orthophosphate, water, filtered, milligrams per liter","Phosphate","mg/l","Dissolved","","","","","","2008-02-21"
"162","00665","Phosphorus, water, unfiltered, milligrams per liter as phosphorus","Phosphorus","mg/l as P","Total","","","","","","2014-10-03"
"163","00666","Phosphorus, water, filtered, milligrams per liter as phosphorus","Phosphorus","mg/l as P","Dissolved","","","","","","2014-10-03"
"164","00667","Phosphorus, suspended sediment, total, milligrams per liter as phosphorus","Phosphorus","mg/l as P","Suspended","","","","","","2014-10-03"
"165","00668","Phosphorus, bed sediment, total, dry weight, milligrams per kilogram as phosphorus","Phosphorus","mg/kg as P","Bed Sediment","","","","Dry","","2014-10-03"
"166","00670","Organic phosphorus, water, unfiltered, milligrams per liter as phosphorus","Organic phosphorus","mg/l as P","Total","","","","","","2014-10-03"
"167","00671","Orthophosphate, water, filtered, milligrams per liter as phosphorus","Phosphate","mg/l as P","Dissolved","","","","","","2008-02-21"
"168","00673","Organic phosphorus, water, filtered, milligrams per liter as phosphorus","Organic phosphorus","mg/l as P","Dissolved","","","","","","2014-10-03"
"169","00674","Orthophosphate, suspended sediment, total, milligrams per liter as phosphorus","Phosphate","mg/l as P","Suspended","","","","","","2008-09-23"
"170","00676","Organic phosphorus, suspended sediment, total, milligrams per liter as phosphorus","Organic phosphorus","mg/l as P","Suspended","","","","","","2014-10-03"
"171","00680","Organic carbon, water, unfiltered, milligrams per liter","Organic carbon","mg/l","Total","","","","","","2008-02-21"
"172","00681","Organic carbon, water, filtered, milligrams per liter","Organic carbon","mg/l","Dissolved","","","","","","2008-02-21"
"173","00682","Carbon (inorganic plus organic), water, filtered, milligrams per liter","Total Carbon","mg/l","Dissolved","","","","","","2008-12-29"
"174","00683","Organic carbon, suspended sediment, dry weight, milligrams per kilogram","Organic carbon","mg/kg","Suspended","","","","Dry","","2008-02-21"
"175","00685","Inorganic carbon, water, unfiltered, milligrams per liter","Inorganic carbon","mg/l","Total","","","","","","2008-02-21"
"176","00686","Inorganic carbon, bed sediment, total, dry weight, grams per kilogram","Inorganic carbon","g/kg","Bed Sediment","","","","Dry","","2008-03-25"
"177","00687","Organic carbon, bed sediment, total, dry weight, grams per kilogram","Organic carbon","g/kg","Bed Sediment","","","","Dry","","2008-03-25"
"178","00688","Inorganic carbon, suspended sediment, total, milligrams per liter","Inorganic carbon","mg/l","Suspended","","","","","","2008-02-21"
"179","00689","Organic carbon, suspended sediment, total, milligrams per liter","Organic carbon","mg/l","Suspended","","","","","","2008-02-21"
"180","00690","Carbon (inorganic plus organic), water, unfiltered, milligrams per liter","Total Carbon","mg/l","Total","","","","","","2008-12-29"
"181","00691","Inorganic carbon, water, filtered, milligrams per liter","Inorganic carbon","mg/l","Dissolved","","","","","","2008-02-21"
"182","00692","Immiscible organic carbon, water, unfiltered, milligrams per liter","Organic carbon","mg/l","Total","","","","","","2009-06-23"
"183","00693","Carbon (inorganic plus organic), bed sediment, total, dry weight, grams per kilogram","Total Carbon","g/kg","Bed Sediment","","","","Dry","","2008-12-29"
"184","00694","Carbon (inorganic plus organic), suspended sediment, total, milligrams per liter","Total Carbon","mg/l","Suspended","","","","","","2008-12-29"
"185","00697","Acetic acid, water, unfiltered, recoverable, milligrams per liter","Acetic acid","mg/l","Recoverable","","","","","","2008-09-23"
"186","00717","Cyanide, weak acid, dissociable, water, filtered, micrograms per liter","Cyanide","ug/l","Dissolved","","","","","","2008-06-23"
"187","00720","Cyanide, water, unfiltered, milligrams per liter","Cyanide","mg/l","Total","","","","","","2008-02-21"
"188","00721","Cyanide, bed sediment, total, dry weight, milligrams per kilogram","Cyanide","mg/kg","Bed Sediment","","","","Dry","","2010-09-24"
"189","00722","Cyanide, free, amenable to chlorination, water, unfiltered, milligrams per liter","Cyanides amenable to chlorination (HCN & CN)","mg/l","Total","","","","","","2008-02-21"
"190","00723","Cyanide, water, filtered, milligrams per liter","Cyanide","mg/l","Dissolved","","","","","","2008-02-21"
"191","00730","Thiocyanate, water, unfiltered, milligrams per liter","Thiocyanate","mg/l","Total","","","","","","2008-02-21"
"192","00731","Thiocyanate, water, filtered, milligrams per liter","Thiocyanate","mg/l","Dissolved","","","","","","2008-02-21"
"193","00737","Thiosulfate, water, filtered, milligrams per liter","Thiosulfate","mg/l","Dissolved","","","","","","2008-09-23"
"194","00740","Sulfite, water, unfiltered, milligrams per liter","Sulfite (SO3)","mg/l","Total","","","","","","2008-02-21"
"195","00745","Sulfide, water, unfiltered, milligrams per liter","Sulfide","mg/l","Total","","","","","","2008-02-21"
"196","00746","Sulfide, water, filtered, milligrams per liter","Sulfide","mg/l","Dissolved","","","","","","2008-02-21"
"197","00898","Carbonate hardness, water, filtered, milligrams per liter as calcium carbonate","Hardness, carbonate","mg/l CaCO3","Dissolved","","","","","","2008-02-21"
"198","00900","Hardness, water, milligrams per liter as calcium carbonate","Total hardness -- SDWA NPDWR","mg/l CaCO3","","","","","","","2008-03-25"
"199","00901","Carbonate hardness, water, unfiltered, milligrams per liter as calcium carbonate","Hardness, carbonate","mg/l CaCO3","Total","","","","","","2008-02-21"
